Year,SIZESEX,TEMP_OCC,D95,ABUN_mil_strat,LAT_COD,AVG_BT,CP_EXTENT,CP_COD,DFA_Trend 
1988,FEMALE_IMM,-0.763139649,17243,736.0462964,60.4954,2.156306581,56942,59.05124601,-1.28754352
1989,FEMALE_IMM,1.84386414,14436,396.5554556,59.865,2.906274607,30476,58.8467041,-1.439443618
1990,FEMALE_IMM,-0.374882823,11228,749.7759674,59.5792,2.238105379,48120,59.64160771,-1.266368658
1991,FEMALE_IMM,0.672829153,15639,1496.882253,59.3636,2.434026307,48120,59.59938457,-1.057908635
1992,FEMALE_IMM,-0.083362336,17243,1453.766923,59.7891,1.674449366,70977,58.75774909,-1.175534367
1993,FEMALE_IMM,0.633724873,13233,2342.389605,60.3929,2.949442206,37293,59.51468426,-0.905248219
1994,FEMALE_IMM,-1.553045103,12030,2249.750652,61.1142,1.50332258,73383,58.99732338,-1.194384346
1995,FEMALE_IMM,-1.364765609,11629,796.3033344,61.0907,1.517083132,76992,58.71159276,-1.051663593
1996,FEMALE_IMM,0.015637777,8421,216.6312397,61.5469,3.293189498,27669,59.68651216,-0.436814027
1997,FEMALE_IMM,-1.096985265,5213,123.6667736,61.4191,2.590745083,46115,59.06927133,-0.437236297
1998,FEMALE_IMM,1.336957762,10025,288.669999,60.7352,3.129069955,26867,60.16017141,-0.188663127
1999,FEMALE_IMM,-1.191354962,19248,116.0581223,60.5443,0.70845486,108270,58.75360343,-0.365098249
2000,FEMALE_IMM,-0.521972712,16441,244.9087643,60.6622,2.011454234,65363,59.06855605,-0.23316475
2001,FEMALE_IMM,-0.008446707,12832,321.9958992,60.9181,2.442372014,46917,59.80107298,0.074561891
2002,FEMALE_IMM,0.507040455,8421,87.24390242,60.765,3.051897372,28070,60.32049763,0.562382458
2003,FEMALE_IMM,1.125423504,7619,432.1788872,60.8196,3.682174927,13634,60.56099789,0.935010241
2004,FEMALE_IMM,1.581343022,9624,556.7449612,59.0968,3.215752305,25263,60.28278085,0.728456567
2005,FEMALE_IMM,1.748792235,10827,710.3885473,59.3435,3.320277923,24060,60.40755567,0.380960342
2006,FEMALE_IMM,-0.992895112,8822,343.9548724,59.6849,1.664492486,68972,59.21042952,-0.571630986
2007,FEMALE_IMM,-0.850182513,11228,375.3267174,60.0813,1.582666667,78997,58.75097014,-0.977155987
2008,FEMALE_IMM,-0.835217735,16842,223.1229741,60.6372,1.107169814,96240,58.68089806,-1.245468079
2009,FEMALE_IMM,-1.219729316,14035,677.3692497,60.7829,1.195733333,89824,58.64481878,-1.611545535
2010,FEMALE_IMM,-0.442436678,16040,2057.055988,60.9596,1.338666667,74987,58.69849269,-1.927704197
2011,FEMALE_IMM,0.555102726,18847,745.4525219,60.3559,2.312,45714,59.46411567,-1.557314794
2012,FEMALE_IMM,-0.709572752,16040,675.7342919,59.5928,0.840035977,103057,58.54649633,-1.079106698
2013,FEMALE_IMM,-0.762365777,16040,690.5168718,59.3329,1.637066667,72982,58.85426527,-0.378178506
2014,FEMALE_IMM,1.600042559,11228,1173.207063,58.6289,3.018666667,36491,60.07560343,0.998758553
2015,FEMALE_IMM,-0.777945318,9624,1239.185813,59.9583,3.1336,34486,60.01786811,2.110706898
2016,FEMALE_IMM,-0.216594057,6817,1831.959268,60.8979,4.210666667,25664,60.54062211,3.384166943
2017,FEMALE_IMM,-0.698105814,11629,1741.044598,60.9434,2.6528,48120,58.96208721,2.942228131
2018,FEMALE_IMM,3.425159015,9624,2196.149195,60.7608,4.159466667,1604,61.83628,4.020349196
2019,FEMALE_IMM,0.853284287,5213,101.7920761,61.277,4.354133333,8020,61.350591,4.713640875
1988,FEMALE_MAT,0.629964465,22055,2219.594213,59.4172,2.156306581,56942,59.05124601,-1.28754352
1989,FEMALE_MAT,2.514757684,19649,3849.301133,59.3474,2.906274607,30476,58.8467041,-1.439443618
